접수번호,접수일,위해자연령,위해자성별,발생일자,치료기간,품목대분류,품목중분류,품목소분류,원산지,위험및위해원인,위해부위,발생장소
2017067570,2017-07-03,,,2017-06-13,해당없음,자동차 및 관련 용품,국내 승용자동차(10인승 이하),국내승용차-중형,,기타 불량 및 고장,해당없음,일반도로
2017067575,2017-07-03,,,2017-06-21,해당없음,자동차 및 관련 용품,국내 승용자동차(10인승 이하),국내 승용차-소형,,기능고장,해당없음,일반도로
2017067576,2017-07-03,,,2017-06-22,해당없음,자동차 및 관련 용품,국내 승용자동차(10인승 이하),국내 승용차-소형,,기능고장,해당없음,일반도로
2017067577,2017-07-03,,,2017-06-23,해당없음,자동차 및 관련 용품,수입 승용자동차(10인승 이하),수입승용차-소형,,기능고장,해당없음,일반도로
2017067578,2017-07-03,,,2017-06-23,해당없음,자동차 및 관련 용품,국내 승용자동차(10인승 이하),국내승용차-대형,,기능고장,해당없음,일반도로
2017067579,2017-07-03,,,2017-06-23,해당없음,자동차 및 관련 용품,국내 승용자동차(10인승 이하),국내승용차-대형,,파열·파손·꺾여짐,해당없음,일반도로
2017067580,2017-07-03,,,2017-06-24,해당없음,자동차 및 관련 용품,국내 승용자동차(10인승 이하),국내승용자-소형,,기타 불량 및 고장,해당없음,일반도로
2017067581,2017-07-03,,,2017-06-25,해당없음,자동차 및 관련 용품,국내 승용자동차(10인승 이하),국내승용자-소형,,해당없음,해당없음,일반도로
2017067582,2017-07-03,,,2017-03-20,해당없음,자동차 및 관련 용품,국내 승용자동차(10인승 이하),국내승용자-소형,한국,기타 불량 및 고장,해당없음,상세불명의 도로 및 인도
2017067585,2017-07-03,,,2017-03-20,해당없음,자동차 및 관련 용품,수입 승용자동차(10인승 이하),수입승용차-중형,독일,기능고장,해당없음,상세불명의 도로 및 인도
2017067587,2017-07-03,,,2017-03-20,해당없음,자동차 및 관련 용품,국내 승용자동차(10인승 이하),국내승용자-중형,한국,기능고장,해당없음,상세불명의 도로 및 인도
2017067588,2017-07-03,,,2017-03-20,해당없음,자동차 및 관련 용품,국내 승용자동차(10인승 이하),국내 승용차-중형,한국,기타 불량 및 고장,해당없음,상세불명의 도로 및 인도
2017067591,2017-07-03,,,2017-03-20,해당없음,자동차 및 관련 용품,국내 승용자동차(10인승 이하),국내승용자-소형,한국,기타 불량 및 고장,해당없음,상세불명의 도로 및 인도
2017067592,2017-07-03,2,여자,2017-06-23,해당없음,가구 및 가구설비,침실가구,침대 ,,부딪힘,눈 및 눈주변(눈썹 및 눈꺼풀),아파트
2017067593,2017-07-03,,,2017-03-20,해당없음,자동차 및 관련 용품,국내 승용자동차(10인승 이하),국내승용자-중형,한국,기타 불량 및 고장,해당없음,상세불명의 도로 및 인도
2017067594,2017-07-03,,,2017-03-20,해당없음,자동차 및 관련 용품,화물자동차,화물차-소형,한국,기타 불량 및 고장,해당없음,상세불명의 도로 및 인도
2017067597,2017-07-03,,,2017-03-21,해당없음,자동차 및 관련 용품,국내 승용자동차(10인승 이하),국내승용자-소형,한국,연료·액체 누수 등,해당없음,상세불명의 도로 및 인도
2017067598,2017-07-03,7,남자,2017-04-23,해당없음,가구 및 가구설비,침실가구,침대 ,,부딪힘,기타 얼굴부위,상세불명의 주택
2017067599,2017-07-03,49,여자,,해당없음,생활용품,가정용 욕실용품,방향제 방출기,한국,피부접촉에 의한 위험 및 위해,해당없음,백화점 
2017067600,2017-07-03,69,여자,2016-04-06,해당없음,의약(외)품 및 의료용구,의료용구,의료용 침대,,추락,둔부,요양병원 
2017067601,2017-07-03,,,2017-03-21,해당없음,자동차 및 관련 용품,수입 승용자동차(10인승 이하),수입승용차-중형,독일,파열·파손·꺾여짐,해당없음,상세불명의 도로 및 인도
2017067602,2017-07-03,0,남자,2017-04-23,해당없음,가구 및 가구설비,침실가구,침대 ,,추락,이마,상세불명의 주택
2017067603,2017-07-03,3,여자,2017-04-23,해당없음,가구 및 가구설비,침실가구,침대 ,,추락,턱,상세불명의 주택
2017067604,2017-07-03,3,남자,2017-04-12,해당없음,가구 및 가구설비,침실가구,침대 ,,추락,머리 및 뇌(뇌막),상세불명의 주택
2017067605,2017-07-03,0,여자,2017-04-14,해당없음,가구 및 가구설비,침실가구,침대 ,,추락,머리 및 뇌(뇌막),상세불명의 주택
2017067608,2017-07-03,85,여자,2017-05-30,해당없음,건축/인테리어 자재 및 작업공구,천장재 및 바닥재,비닐바닥재,,미끄러짐·넘어짐,다리(무릎 위),아파트
2017067611,2017-07-03,,,2017-03-21,해당없음,자동차 및 관련 용품,국내 승용자동차(10인승 이하),국내승용자-중형,한국,기능고장,해당없음,상세불명의 도로 및 인도
2017067612,2017-07-03,,,2017-03-21,해당없음,자동차 및 관련 용품,국내 승용자동차(10인승 이하),국내승용자-소형,한국,기타 불량 및 고장,해당없음,상세불명의 도로 및 인도
2017067613,2017-07-03,36,남자,2016-02-24,해당없음,가구 및 가구설비,침실가구,침대 ,,추락,어깨(쇄골 포함),아파트
2017067614,2017-07-03,,,2017-03-21,해당없음,자동차 및 관련 용품,국내 승용자동차(10인승 이하),국내승용자-소형,한국,기타 불량 및 고장,해당없음,상세불명의 도로 및 인도
2017067567,2017-07-03,,,2017-06-08,해당없음,자동차 및 관련 용품,국내 승용자동차(10인승 이하),국내 승용차-소형,,기능고장,해당없음,일반도로
2017067568,2017-07-03,,,2017-06-08,해당없음,자동차 및 관련 용품,국내 승용자동차(10인승 이하),국내 승용차-대형,한국,연료·액체 누수 등,해당없음,일반도로
